Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00       5/13          void (*std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, void (*)(int)>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, void (*)(int)))(int) [140]
[11]     0.0    0.00    0.00      13         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++() [11]
-----------------------------------------------
                0.00    0.00       3/13          base_test5()::{lambda(int)#1} std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test5()::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test5()::{lambda(int)#1}, base_test5()::{lambda(int)#1}) [142]
                0.00    0.00       5/13          base_test3()::{lambda(int)#1} std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test3()::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test3()::{lambda(int)#1}, base_test3()::{lambda(int)#1}) [141]
                0.00    0.00       5/13          void (*std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, void (*)(int)>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, void (*)(int)))(int) [140]
[12]     0.0    0.00    0.00      13         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const [12]
-----------------------------------------------
                0.00    0.00       6/6           std::allocator<int>::~allocator() [15]
[13]     0.0    0.00    0.00       6         __gnu_cxx::new_allocator<int>::~new_allocator() [13]
-----------------------------------------------
                0.00    0.00       3/6           std::vector<int, std::allocator<int> >::begin() [34]
                0.00    0.00       3/6           std::vector<int, std::allocator<int> >::end() [33]
[14]     0.0    0.00    0.00       6         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) [14]
-----------------------------------------------
                0.00    0.00       1/6           base_test3() [96]
                0.00    0.00       1/6           base_test5() [98]
                0.00    0.00       2/6           std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl() [55]
                0.00    0.00       2/6           std::vector<int, std::allocator<int> >::_S_check_init_len(unsigned long, std::allocator<int> const&) [65]
[15]     0.0    0.00    0.00       6         std::allocator<int>::~allocator() [15]
                0.00    0.00       6/6           __gnu_cxx::new_allocator<int>::~new_allocator() [13]
-----------------------------------------------
                0.00    0.00       2/6           std::vector<int, std::allocator<int> >::~vector() [68]
                0.00    0.00       4/6           void std::vector<int, std::allocator<int> >::_M_range_initialize<int const*>(int const*, int const*, std::forward_iterator_tag) [66]
[16]     0.0    0.00    0.00       6         std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [16]
-----------------------------------------------
                0.00    0.00       5/5           void (*std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, void (*)(int)>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, void (*)(int)))(int) [140]
[17]     0.0    0.00    0.00       5         func5(int) [17]
-----------------------------------------------
                0.00    0.00       5/5           base_test3()::{lambda(int)#1} std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test3()::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test3()::{lambda(int)#1}, base_test3()::{lambda(int)#1}) [141]
[18]     0.0    0.00    0.00       5         base_test3()::{lambda(int)#1}::operator()(int) const [18]
-----------------------------------------------
                0.00    0.00       1/4           base_test5() [98]
                0.00    0.00       3/4           void print<int, int>(int const&, int const&) [30]
[19]     0.0    0.00    0.00       4         void print<int>(int const&) [19]
-----------------------------------------------
                0.00    0.00       4/4           void print<unsigned long, unsigned long>(unsigned long const&, unsigned long const&) [21]
[20]     0.0    0.00    0.00       4         void print<unsigned long>(unsigned long const&) [20]
-----------------------------------------------
                0.00    0.00       1/4           base_test3() [96]
                0.00    0.00       3/4           void print<unsigned long, unsigned long, unsigned long>(unsigned long const&, unsigned long const&, unsigned long const&) [32]
[21]     0.0    0.00    0.00       4         void print<unsigned long, unsigned long>(unsigned long const&, unsigned long const&) [21]
                0.00    0.00       4/4           void print<unsigned long>(unsigned long const&) [20]
-----------------------------------------------
                0.00    0.00       4/4           std::allocator<int>::allocator(std::allocator<int> const&) [25]
[22]     0.0    0.00    0.00       4         __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&) [22]
-----------------------------------------------
                0.00    0.00       2/4           __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*) [45]
                0.00    0.00       2/4           __gnu_cxx::new_allocator<int>::max_size() const [47]
[23]     0.0    0.00    0.00       4         __gnu_cxx::new_allocator<int>::_M_max_size() const [23]
-----------------------------------------------
                0.00    0.00       2/4           std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&) [67]
                0.00    0.00       2/4           std::initializer_list<int>::end() const [48]
[24]     0.0    0.00    0.00       4         std::initializer_list<int>::begin() const [24]
-----------------------------------------------
                0.00    0.00       2/4           std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) [54]
                0.00    0.00       2/4           std::vector<int, std::allocator<int> >::_S_check_init_len(unsigned long, std::allocator<int> const&) [65]
[25]     0.0    0.00    0.00       4         std::allocator<int>::allocator(std::allocator<int> const&) [25]
                0.00    0.00       4/4           __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&) [22]
-----------------------------------------------
                0.00    0.00       4/4           int* std::copy<int const*, int*>(int const*, int const*, int*) [80]
[26]     0.0    0.00    0.00       4         int const* std::__miter_base<int const*>(int const*) [26]
-----------------------------------------------
                0.00    0.00       4/4           int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*) [73]
[27]     0.0    0.00    0.00       4         int const* std::__niter_base<int const*>(int const*) [27]
-----------------------------------------------
                0.00    0.00       1/3           base_test5() [98]
                0.00    0.00       2/3           double Max<double>(double, double, double) [103]
[28]     0.0    0.00    0.00       3         double Max<double>(double, double) [28]
-----------------------------------------------
                0.00    0.00       3/3           base_test4() [97]
[29]     0.0    0.00    0.00       3         func6(int, int) [29]
-----------------------------------------------
                0.00    0.00       3/3           void print<int, int, int>(int const&, int const&, int const&) [31]
[30]     0.0    0.00    0.00       3         void print<int, int>(int const&, int const&) [30]
                0.00    0.00       3/4           void print<int>(int const&) [19]
-----------------------------------------------
                0.00    0.00       3/3           base_test5() [98]
[31]     0.0    0.00    0.00       3         void print<int, int, int>(int const&, int const&, int const&) [31]
                0.00    0.00       3/3           void print<int, int>(int const&, int const&) [30]
-----------------------------------------------
                0.00    0.00       1/3           base_test3() [96]
                0.00    0.00       2/3           void print<unsigned long, unsigned long, unsigned long, unsigned long>(unsigned long const&, unsigned long const&, unsigned long const&, unsigned long const&) [38]
[32]     0.0    0.00    0.00       3         void print<unsigned long, unsigned long, unsigned long>(unsigned long const&, unsigned long const&, unsigned long const&) [32]
                0.00    0.00       3/4           void print<unsigned long, unsigned long>(unsigned long const&, unsigned long const&) [21]
-----------------------------------------------
                0.00    0.00       1/3           base_test5() [98]
                0.00    0.00       2/3           base_test3() [96]
[33]     0.0    0.00    0.00       3         std::vector<int, std::allocator<int> >::end() [33]
                0.00    0.00       3/6           __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) [14]
-----------------------------------------------
                0.00    0.00       1/3           base_test5() [98]
                0.00    0.00       2/3           base_test3() [96]
[34]     0.0    0.00    0.00       3         std::vector<int, std::allocator<int> >::begin() [34]
                0.00    0.00       3/6           __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) [14]
-----------------------------------------------
                0.00    0.00       3/3           base_test5()::{lambda(int)#1} std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test5()::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test5()::{lambda(int)#1}, base_test5()::{lambda(int)#1}) [142]
[35]     0.0    0.00    0.00       3         base_test5()::{lambda(int)#1}::operator()(int) const [35]
-----------------------------------------------
                0.00    0.00       2/2           base_test5() [98]
[36]     0.0    0.00    0.00       2         Max(int, int) [36]
-----------------------------------------------
                0.00    0.00       2/2           base_test4() [97]
[37]     0.0    0.00    0.00       2         func9(int, void (*)(int)) [37]
                0.00    0.00       1/1           base_test4()::{lambda(int)#1}::_FUN(int) [145]
                0.00    0.00       1/1           func8(int) [119]
-----------------------------------------------
                0.00    0.00       2/2           base_test3() [96]
[38]     0.0    0.00    0.00       2         void print<unsigned long, unsigned long, unsigned long, unsigned long>(unsigned long const&, unsigned long const&, unsigned long const&, unsigned long const&) [38]
                0.00    0.00       2/3           void print<unsigned long, unsigned long, unsigned long>(unsigned long const&, unsigned long const&, unsigned long const&) [32]
-----------------------------------------------
